Domanda,Risposta A,Risposta B,Risposta C,Argomento,Sottoargomento,Corretta
Ai conducenti dei taxi è vietato:,a) dialogare con l'utente,b) ammettere  sull'autovettura persone  estranee a quelle che hanno  richiesto il servizio,c) avvertire  immediatamente l'utente dei  supplementi di tariffa  applicabili,3,3,b
Ai conducenti degli autoservizi pubblici non di linea  è vietato:,a) tenere sull'autovettura  persone cani di proprietà del  conducente,b) tenere con gli utenti un  contegno corretto,c) seguire le indicazioni di  percorso fornite dall'utente,3,3,a
Ai conducenti delle autopubbliche è vietato:,a) controllare il regolare  funzionamento del  tassametro e/o del  contachilometri,b) verificare con attenzione i  consumi di carburante al fine  di limitare i danni ecologici  indotti,c) adibire l'autovettura alla  vendita ambulante di merci,3,3,c
Ai conducenti delle autopubbliche è vietato:,a) interrompere  spontaneamente il turno di  servizio o la corsa eccettuati  i casi di forza maggiore,b) sostituire la ruota in caso  di foratura,c) percorrere senza  autorizzazione dell'utente le  strade statali,3,3,a
"I conducenti di taxi, all'inizio della corsa hanno  l'obbligo di:",a) azionare il tassametro ed  assicurarsi che lo stesso  funzioni regolarmente,b) pulire accuratamente il  veicolo in ogni sua parte,c) richiamare l'attenzione  della vigilanza urbana per  verificare l'attendibilità  dell'utente,3,3,a
I conducenti di taxi hanno l'obbligo di:,a) misurare la pressione dei  pneumatici prima di ogni  servizio,b) avvertire immediatamente  l'utente dell'avvicinarsi della  destinazione,c) avere a bordo del veicolo  la licenza counale ed i  documenti di circolazione,3,3,c
"I conducenti di taxi, durante l'effettuazione della  corsa, hanno il divieto di:",a) mangiare e fumare,"b) mangiare e fumare, se  tale divieto è imposto  dall'utente",c) dialogare con l'utente,3,3,a
"I conducenti di taxi, durante l'effettuazione della  corsa, hanno il divieto di:",a) seguire le indicazioni di  percorso fornite dall'utente,b) fare schiamazzi ed  azionare continuamente i  dispositivi acustici di  segnalazione,c) fermarsi con il semaforo  che proietta luce rossa,3,3,b
"I conducenti di taxi, al termine della corsa, hanno  l'obbligo di:","a) recapitare ad altro  indirizzo il bagaglio  dell'utente, con pagamento  della corsa anticipato",b) accertare che l'utente non  abbia smarrito alcun oggetto  all'interno dell'autovettura,c) appropriarsi di qualsiasi  oggetto smarrito all'interno  dell'autovettura,3,3,b
Tra i doveri prescritti per i conducenti di vetture da  piazza è previsto:,a) effettuare il servizio di  trasporto di bambini non  accompagnati,b) rilasciare ricevuta firmata  con i dati identificativi della  corsa e del conducente,c) tenere un  comportamento corretto e  cortese nei confronti dei  passeggeri trasportati,3,4,c
Tra i doveri prescritti per i conducenti di vetture da  piazza è previsto:,a) sospendere  immediatamente il servizio  in caso di guasto al  tassametro,"b) nel caso di rinvenimento  di qualsiasi oggetto smarrito,  aprire una ricerca per  riconsegnare l'oggetto al  legittimo proprietario",c) interrompere di propria  iniziativa il servizio quando  si venga richiesti per altro  più vantaggioso,3,4,a
"Al termine del servizio, il conducente della vettura  taxi deve:","a) aprire la portiera  dell'autovettura, sul lato  scorrimento dei veicoli, ed  aiutare a scendere i  passeggeri",b) far prendere visione  all'utente del prezzo della  corsa e quindi azzerare il  tassametro,c) pretendere compensi  oltre al prezzo segnato sul  tassametro ed i supplementi  dovuti,3,4,b
L'attesa del servizio taxi avviene:,a) attraverso lo  stazionamento presso gli  alberghi scelti dal  conducente del veicolo ed  elencati sulla licenza,b) attraverso la sosta in  appositi posteggi assegnati  dall'Amministrazione  Comunale,c) attraverso lo  stazionamento in apposite  rimesse,3,4,b
I conducenti  di autovetture da piazza hanno  l'obbligo:,a) di fumare in servizio,b) di vestire decorosamente,c) di allontanarsi dal veicolo  quando è in servizio,3,4,b
I conducenti  di autovetture da piazza hanno  l'obbligo:,a) di essere provvisti di una  guida aggiornata delle vie e  piazze comprese nel  territorio comunale,b) interrompere di propria  iniziativa il servizio quando si  venga richiesti per altro più  vantaggioso,c) recapitare i bagagli sulla  soglia di casa dell'utente,3,4,a
Ai conducenti dei taxi è vietato:,a) dialogare con l'utente,"b) ammettere  sull'autovettura persone  estranee a quelle che hanno  richiesto il servizio, se non  con il consenso di queste  ultime",c) avvertire  immediatamente l'utente dei  supplementi di tariffa  applicabili,3,4,b
Ai conducenti degli autoservizi pubblici non di linea  è vietato:,"a) tenere sull'autovettura  persone, animali o cose che  non abbiano attinenza con il  servizio",b) tenere con gli utenti un  contegno corretto,c) seguire le indicazioni di  percorso fornite dall'utente,3,4,a
Ai conducenti delle autopubbliche è vietato:,a) controllare il regolare  funzionamento del  tassametro e/o del  contachilometri,b) verificare con attenzione i  consumi di carburante al fine  di limitare i danni ecologici  indotti,c) adibire l'autovettura alla  vendita od al trasporto di  masserizie ingombranti,3,4,c
Ai conducenti delle autopubbliche è vietato:,a) interrompere  spontaneamente il turno di  servizio o la corsa eccettuati  i casi di forza maggiore,b) sostituire la ruota in caso  di foratura,c) percorrere senza  autorizzazione dell'utente le  strade statali,3,4,a
"I conducenti di taxi, all'inizio della corsa hanno  l'obbligo di:",a) azionare il tassametro ed  assicurarsi che lo stesso  funzioni regolarmente,b) pulire accuratamente il  veicolo in ogni sua parte,c) richiamare l'attenzione  della vigilanza urbana per  verificare l'attendibilità  dell'utente,3,4,a
I conducenti di taxi hanno l'obbligo di:,a) misurare la pressione dei  pneumatici prima di ogni  servizio,b) avvertire immediatamente  l'utente dell'avvicinarsi della  destinazione,c) avere a bordo del veicolo  la licenza comunale ed i  documenti di circolazione,3,4,c
I conducenti di taxi hanno l'obbligo di:,a) sospendere la corsa solo  per consumare il pasto,b) mettere a disposizione  dell'utente la stampa  quotidiana,"c) applicare il cartello di  ""fuori servizio"" al termine di  ciascun turno e quando la  vettura è usata per scopi  familiari",3,4,c
"I conducenti di taxi, durante l'effettuazione della  corsa, hanno il divieto di:",a) mangiare e fumare,"b) mangiare e fumare, se  tale divieto è imposto  dall'utente",c) dialogare con l'utente,3,4,a
"I conducenti di taxi, durante l'effettuazione della  corsa, hanno il divieto di:",a) seguire le indicazioni di  percorso fornite dall'utente,b) fare schiamazzi ed  azionare continuamente i  dispositivi acustici di  segnalazione,c) fermarsi con il semaforo  che proietta luce rossa,3,4,b
"I conducenti di taxi, durante l'effettuazione della  corsa, hanno l'obbligo di:","a) prodigarsi per portare a  destinazione l'utente, anche  se il veicolo si guasta",b) prevedere l'importo  definitivo e contrattare con  l'utente il corrispettivo,c) concordare e  programmare in accordo  con l'utente più viaggi o  percorsi,3,4,a
"I conducenti di taxi, al termine della corsa, hanno  l'obbligo di:",a) verificare la consistenza  del bagaglio,b) pretendere il pagamento  anticipato della corsa  successiva,"c) far prendere visione  all'utente del prezzo della  corsa e, quindi, azzerare il  tassametro",3,4,c
"I conducenti di taxi, al termine della corsa, hanno  l'obbligo di:",a) aiutare educatamente a  scendere le persone e  scaricare i bagagli,b) acquisire un'altra corsa  attraverso l'utilizzo del  telefono cellulare,c) perquisire con attenzione  i bagagli,3,4,a
"I conducenti di taxi, al termine della corsa, hanno  l'obbligo di:","a) recapitare ad altro  indirizzo il bagaglio  dell'utente, con pagamento  della corsa anticipato",b) accertare che l'utente non  abbia smarrito alcun oggetto  all'interno dell'autovettura,c) appropriarsi di qualsiasi  oggetto smarrito all'interno  dell'autovettura,3,4,b
Tra i doveri prescritti per i conducenti di vetture da  piazza è previsto:,a) effettuare il servizio di  trasporto di bambini non  accompagnati,b) rilasciare ricevuta firmata  con i dati identificativi della  corsa e del conducente,c) tenere un  comportamento corretto in  ogni circostanza,3,5,c
Tra i doveri prescritti per i conducenti di vetture da  piazza è previsto:,a) sospendere  immediatamente il servizio  in caso di guasto al veicolo  oppure quando il  tassametro non funziona  regolarmente,"b) nel caso di rinvenimento  di qualsiasi oggetto smarrito,  aprire una ricerca per  riconsegnare l'oggetto al  legittimo proprietario",c) interrompere di propria  iniziativa il servizio quando  si venga richiesti per altro  più vantaggioso,3,5,a
"Al termine del servizio, il conducente della vettura  taxi deve:","a) aprire la portiera  dell'autovettura, sul lato  scorrimento dei veicoli, ed  aiutare a scendere i  passeggeri",b) far prendere visione  all'utente del prezzo della  corsa e quindi azzerare il  tassametro,c) pretendere compensi  oltre al prezzo segnato sul  tassametro ed i supplementi  dovuti,3,5,b
L'attesa del servizio taxi avviene:,a) attraverso lo  stazionamento presso gli  alberghi scelti dal  conducente del veicolo ed  elencati sulla licenza,b) attraverso la sosta in  appositi posteggi assegnati,c) attraverso lo  stazionamento in apposite  rimesse,3,5,b
Ai conducenti dei servizi taxi e/o autonoleggio è  vietato:,a) accettare utenti tra i  passeggeri in attesa presso  la stazione,b) chiedere il pagamento  dell'importo del servizio  prestato,c) adibire il veicolo a servizi  su itinerari fissi con orari e  tariffe prestabilite,3,5,c
I conducenti di autovetture da piazza hanno  l'obbligo:,a) di fumare in servizio,"b) di rilasciare, a richiesta  del cliente, una ricevuta  attestante l'importo della  corsa",c) di allontanarsi dal veicolo  quando è in servizio,3,5,b
I conducenti di autovetture da piazza hanno  l'obbligo:,a) di essere provvisti di una  guida aggiornata delle vie e  piazze comprese nel  territorio comunale,b) interrompere di propria  iniziativa il servizio quando si  venga richiesti per altro più  vantaggioso,c) recapitare i bagagli sulla  soglia di casa dell'utente,3,5,a
Ai conducenti dei taxi e delle vetture da noleggio è  vietato:,a) dialogare con l'utente,b) ammettere  sull'autovettura persone  estranee a quelle che hanno  richiesto il servizio,c) avvertire  immediatamente l'utente dei  supplementi di tariffa  applicabili,3,5,b
Ai conducenti degli autoservizi pubblici non di linea  è vietato:,a) tenere sull'autovettura  cani propri,b) tenere con gli utenti un  contegno corretto,c) seguire le indicazioni di  percorso fornite dall'utente,3,5,a
Ai conducenti delle autopubbliche è vietato:,a) controllare il regolare  funzionamento del  tassametro e/o del  contachilometri,b) verificare con attenzione i  consumi di carburante al fine  di limitare i danni ecologici  indotti,c) adibire l'autovettura  all'esposizione o alla  vendita di merci,3,5,c
"I conducenti di taxi, all'inizio della corsa hanno  l'obbligo di:",a) azionare il tassametro ed  assicurarsi che lo stesso  funzioni regolarmente,b) pulire accuratamente il  veicolo in ogni sua parte,c) richiamare l'attenzione  della vigilanza urbana per  verificare l'attendibilità  dell'utente,3,5,a
I conducenti di taxi hanno l'obbligo di:,a) misurare la pressione dei  pneumatici prima di ogni  servizio,b) avvertire immediatamente  l'utente dell'avvicinarsi della  destinazione,c) avere a bordo del veicolo  la licenza comunale ed i  documenti di circolazione,3,5,c
"I conducenti di taxi, all'inizio della corsa hanno  l'obbligo di:",a) segnalare  tempestivamente la svolta a  sinistra,b) caricare i bagagli di cui è  consentito il trasporto senza  deteriorare il veicolo,c) azionare il segnalatore  acustico contestualmente  alla salita dell'utente,3,5,b
I conducenti di taxi hanno l'obbligo di:,a) sospendere la corsa solo  per consumare il pasto,b) mettere a disposizione  dell'utente la stampa  quotidiana,c) applicare il cartello di  fuori servizio al termine di  ciascun turno e quando la  vettura è usata per scopi  familiari,3,5,c
"I conducenti di taxi, durante l'effettuazione della  corsa, hanno il divieto di:",a) mangiare e tenere la  radio ad alto volume,"b) mangiare e fumare, se  tale divieto è imposto  dall'utente",c) dialogare con l'utente,3,5,a
"I conducenti di taxi, durante l'effettuazione della  corsa, hanno il divieto di:",a) seguire le indicazioni di  percorso fornite dall'utente,b) fare schiamazzi ed  azionare continuamente i  dispositivi acustici di  segnalazione,c) fermarsi con il semaforo  che proietta luce rossa,3,5,b
"I conducenti di taxi, durante l'effettuazione della  corsa, hanno l'obbligo di:","a) prodigarsi per portare a  destinazione l'utente, anche  se il veicolo si guasta",b) prevedere l'importo  definitivo e contrattare con  l'utente il corrispettivo,c) concordare e  programmare in accordo  con l'utente più viaggi o  percorsi,3,5,a
"I conducenti di taxi, durante il servizio, hanno  l'obbligo di:",a) verificare la consistenza  del bagaglio,b) pretendere il pagamento  anticipato della corsa  successiva,c) essere sempre muniti di  una congrua quantità di  moneta spicciola per essere  in grado di corrispondere al  cliente il resto,3,5,c
I conducenti di taxi hanno l'obbligo di:,a) disimpegnare il servizio  con ogni decoro,b) acquisire un'altra corsa  attraverso l'utilizzo del  telefono cellulare,c) perquisire con attenzione  i bagagli,3,5,a
Quale diritto spetta ai conducenti di autoveicoli  adibiti a turno di servizio?,a) invertire il senso di  marcia per prelevare utenza,b) usare corsie preferenziali,c) fermare l'autovettura alla  fermata degli autobus di  linea,3,5,b
